"","Period","Trade","Gross_Weight_kt","NZD_Value_mil"
"414",2005-03-31,"Imports",1663.011,2980.814
"415",2005-04-30,"Exports",2109.844,2850.368
"416",2005-04-30,"Imports",1672.289,2944.758
"417",2005-05-31,"Exports",2080.419,3021.232
"418",2005-05-31,"Imports",1602.993,2973.074
"419",2005-06-30,"Exports",1735.165,2602.629
"420",2005-06-30,"Imports",1530.161,3010.566
"421",2005-07-31,"Exports",1695.577,2530.071
"422",2005-07-31,"Imports",1654.997,3030.621
"423",2005-08-31,"Exports",1640.918,2454.959
"424",2005-08-31,"Imports",1491.152,3312.885
"425",2005-09-30,"Exports",1862.453,2416.093
"426",2005-09-30,"Imports",1591.945,3258.057
"427",2005-10-31,"Exports",1772.808,2558.246
"428",2005-10-31,"Imports",1419.381,3045.72
"429",2005-11-30,"Exports",1770.157,2659.369
"430",2005-11-30,"Imports",1688.84,3505.872
"431",2005-12-31,"Exports",1916.911,2705.847
"432",2005-12-31,"Imports",1358.593,2963.88
"433",2006-01-31,"Exports",1398.58,2260.262
"434",2006-01-31,"Imports",1875.313,2800.053
"435",2006-02-28,"Exports",1623.778,2568.436
"436",2006-02-28,"Imports",1384.141,2764.323
"437",2006-03-31,"Exports",2105.853,3191.146
"438",2006-03-31,"Imports",1479.458,3107.588
"439",2006-04-30,"Exports",1926.759,3072.043
"440",2006-04-30,"Imports",1280.716,2980.314
"441",2006-05-31,"Exports",2203.254,3524.102
"442",2006-05-31,"Imports",1678.094,3515.588
"443",2006-06-30,"Exports",1922.835,3007.797
"444",2006-06-30,"Imports",1216.824,3107.139
"445",2006-07-31,"Exports",1763.146,3023.398
"446",2006-07-31,"Imports",1565.673,3424.921
"447",2006-08-31,"Exports",1753.534,2793.143
"448",2006-08-31,"Imports",1629.524,3681.026
"449",2006-09-30,"Exports",1928.198,2863.624
"450",2006-09-30,"Imports",1516.518,3463.79
"451",2006-10-31,"Exports",2017.21,2819.199
"452",2006-10-31,"Imports",1729.062,3621.402
"453",2006-11-30,"Exports",1932.006,2880.07
"454",2006-11-30,"Imports",1720.406,3607.85
"455",2006-12-31,"Exports",1832.096,2993.636
"456",2006-12-31,"Imports",1539.763,3278.559
"457",2007-01-31,"Exports",1610.9,2542.256
"458",2007-01-31,"Imports",1629.578,3074.789
"459",2007-02-28,"Exports",1916.492,2969.343
"460",2007-02-28,"Imports",1272.43,2979.427
"461",2007-03-31,"Exports",2205.668,3301.846
"462",2007-03-31,"Imports",1396.426,3244.506
"463",2007-04-30,"Exports",2181.707,3263.532
"464",2007-04-30,"Imports",1595.516,3172.508
"465",2007-05-31,"Exports",2126.033,3411.273
"466",2007-05-31,"Imports",1500.884,3291.447
"467",2007-06-30,"Exports",1698.813,2854.11
"468",2007-06-30,"Imports",1403.333,3081.768
"469",2007-07-31,"Exports",1821.066,2767.919
"470",2007-07-31,"Imports",1804.167,3438.839
"471",2007-08-31,"Exports",2030.276,2791.554
"472",2007-08-31,"Imports",1547.781,3603.021
"473",2007-09-30,"Exports",1777.088,2991.905
"474",2007-09-30,"Imports",1566.849,3494.393
"475",2007-10-31,"Exports",2020.313,3367.152
"476",2007-10-31,"Imports",1691.416,3836.047
"477",2007-11-30,"Exports",2045.523,3442.448
"478",2007-11-30,"Imports",1574.045,3864.905
"479",2007-12-31,"Exports",2072.661,3733.779
"480",2007-12-31,"Imports",1588.882,3624.969
"481",2008-01-31,"Exports",1999.362,3188.636
"482",2008-01-31,"Imports",1459.948,3386.134
"483",2008-02-29,"Exports",2148.111,3759.771
"484",2008-02-29,"Imports",1611.889,3444.526
"485",2008-03-31,"Exports",2318.735,3455.65
"486",2008-03-31,"Imports",1584.149,3460.277
"487",2008-04-30,"Exports",2307.888,3906.492
"488",2008-04-30,"Imports",1704.053,3947.42
"489",2008-05-31,"Exports",2163.887,3789.097
"490",2008-05-31,"Imports",1660.262,3793.144
"491",2008-06-30,"Exports",2316.623,3632.717
"492",2008-06-30,"Imports",1530.309,3765.571
"493",2008-07-31,"Exports",2243.2,3512.166
"494",2008-07-31,"Imports",1606.153,4216.932
"495",2008-08-31,"Exports",2191.322,3541.65
"496",2008-08-31,"Imports",1615.909,4274.944
"497",2008-09-30,"Exports",1873.312,3243.16
"498",2008-09-30,"Imports",1790.816,4432.657
"499",2008-10-31,"Exports",2102.712,3905.641
"500",2008-10-31,"Imports",1813.037,4770.968
"501",2008-11-30,"Exports",1911.561,3734.582
"502",2008-11-30,"Imports",1577.788,4256.58
"503",2008-12-31,"Exports",1757.496,3795.553
"504",2008-12-31,"Imports",1546.092,4188.578
"505",2009-01-31,"Exports",1642.391,3243.618
"506",2009-01-31,"Imports",1407.439,3277.635
"507",2009-02-28,"Exports",1680.794,3532.173
"508",2009-02-28,"Imports",932.018,2913.391
"509",2009-03-31,"Exports",2383.326,3997.404
"510",2009-03-31,"Imports",1357.821,3627.38
"511",2009-04-30,"Exports",2543.053,3730.766
"512",2009-04-30,"Imports",1510.204,3347.612
"513",2009-05-31,"Exports",2589.05,4051.483
"514",2009-05-31,"Imports",1316.697,3035.873
"515",2009-06-30,"Exports",2500.806,3231.886
"516",2009-06-30,"Imports",963.607,2973.771
"517",2009-07-31,"Exports",2764.603,3252.615
"518",2009-07-31,"Imports",1422.751,3288.543
"519",2009-08-31,"Exports",2257.774,2840.212
"520",2009-08-31,"Imports",1441.817,3449.361
"521",2009-09-30,"Exports",2531.626,2864.703
"522",2009-09-30,"Imports",1342.792,3323.287
"523",2009-10-31,"Exports",2158.179,3056.389
"524",2009-10-31,"Imports",1387.468,3365.322
"525",2009-11-30,"Exports",2293.983,3138.371
"526",2009-11-30,"Imports",1448,3353.579
"527",2009-12-31,"Exports",2049.257,3493.007
"528",2009-12-31,"Imports",1690.332,3447.482
"529",2010-01-31,"Exports",2288.947,3191.434
"530",2010-01-31,"Imports",1233.818,2870.241
"531",2010-02-28,"Exports",2201.11,3402.792
"532",2010-02-28,"Imports",1358.134,3005.064
"533",2010-03-31,"Exports",2786.219,4167.174
"534",2010-03-31,"Imports",1635.831,3477.055
"535",2010-04-30,"Exports",2689.273,3982.742
"536",2010-04-30,"Imports",1436.719,3218.235
"537",2010-05-31,"Exports",2779.745,4276.209
"538",2010-05-31,"Imports",1397.33,3373.484
"539",2010-06-30,"Exports",2559.823,3774.013
"540",2010-06-30,"Imports",1543.231,3490.502
"541",2010-07-31,"Exports",2554.659,3594.416
"542",2010-07-31,"Imports",1700.833,3744.141
"543",2010-08-31,"Exports",2424.652,3229.35
"544",2010-08-31,"Imports",1377.763,3585.081
"545",2010-09-30,"Exports",2263.975,3221.704
"546",2010-09-30,"Imports",1442.211,3649.385
"547",2010-10-31,"Exports",2580.701,3806.204
"548",2010-10-31,"Imports",1643.885,3827.902
"549",2010-11-30,"Exports",2749.626,3737.196
"550",2010-11-30,"Imports",1738.501,3861.226
"551",2010-12-31,"Exports",2588.754,3952.729
"552",2010-12-31,"Imports",1561.132,3796.988
"553",2011-01-31,"Exports",2055.332,3343.033
"554",2011-01-31,"Imports",1452.795,3301.122
"555",2011-02-28,"Exports",2758.249,4025.104
"556",2011-02-28,"Imports",1557,3466.446
"557",2011-03-31,"Exports",2821.693,4909.009
"558",2011-03-31,"Imports",1542.425,3857.934
