great_walk,seasonality,hut_or_campsite,measure,date,count
Kepler Track - Great Walk,Seasonal,Moturau Hut,BookedUnits,1/11/2005,392
Kepler Track - Great Walk,Seasonal,Moturau Hut,Capacity,1/11/2005,1200
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,Capacity,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,BookedUnits,1/11/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,Capacity,1/11/2005,
Milford Track - Great Walk,Seasonal,Clinton Hut,BookedUnits,1/11/2005,1232
Milford Track - Great Walk,Seasonal,Clinton Hut,Capacity,1/11/2005,1200
Milford Track - Great Walk,Seasonal,Dumpling Hut,BookedUnits,1/11/2005,1236
Milford Track - Great Walk,Seasonal,Dumpling Hut,Capacity,1/11/2005,1200
